=====================================
Monospace 
=====================================
'Ravi Prakash', cursive
'Revalia', cursive
'Ribeye Marrow', cursive
'Ribeye', cursive
'Righteous', cursive
'Risque', cursive
'Ruslan Display', cursive
'Rye', cursive
'Sail', cursive
'Salsa', cursive
'Sancreek', cursive
'Sarina', cursive
'Seaweed Script', cursive
'Sevillana', cursive
'Share', cursive
'Shojumaru', cursive
'Shrikhand', cursive
'Siemreap', cursive
'Sigmar One', cursive
'Simonetta', cursive
'Sirin Stencil', cursive
'Skranji', cursive
'Slackey', cursive
'Smokum', cursive
'Smythe', cursive
'Sniglet', cursive
'Snowburst One', cursive
'Sofadi One', cursive
'Sonsie One', cursive
'Special Elite', cursive
'Spicy Rice', cursive
'Spirax', cursive
'Squada One', cursive
'Stalinist One', cursive
'Stardos Stencil', cursive
'Stint Ultra Condensed', cursive
'Stint Ultra Expanded', cursive
'Supermercado One', cursive
'Suwannaphum', cursive
'Taprom', cursive
'Titan One', cursive
'Trade Winds', cursive
'Trochut', cursive
'Tulpen One', cursive
'Uncial Antiqua', cursive
'Underdog', cursive
'Unica One', cursive
'UnifrakturCook', cursive
'UnifrakturMaguntia', cursive
'Unkempt', cursive
'Unlock', cursive
'Vampiro One', cursive
'Vast Shadow', cursive
'Voces', cursive
'Wallpoet', cursive
'Warnes', cursive
'Wellfleet', cursive
'Yatra One', cursive
'Yeseva One', cursive
'Zilla Slab Highlight', cursive
=====================================
Sans Serif
=====================================
'ABeeZee', sans-serif
'Abel', sans-serif
'Aclonica', sans-serif
'Acme', sans-serif
'Actor', sans-serif
'Advent Pro', sans-serif
'Aldrich', sans-serif
'Alef', sans-serif
'Alegreya Sans SC', sans-serif
'Alegreya Sans', sans-serif
'Allerta Stencil', sans-serif
'Allerta', sans-serif
'Amaranth', sans-serif
'Amiko', sans-serif
'Anaheim', sans-serif
'Andika', sans-serif
'Antic', sans-serif
'Anton', sans-serif
'Archivo Black', sans-serif
'Archivo Narrow', sans-serif
'Archivo', sans-serif
'Arimo', sans-serif
'Armata', sans-serif
'Arsenal', sans-serif
'Arya', sans-serif
'Asap Condensed', sans-serif
'Asap', sans-serif
'Assistant', sans-serif
'Asul', sans-serif
'Athiti', sans-serif
'Average Sans', sans-serif
'Basic', sans-serif
'Belleza', sans-serif
'BenchNine', sans-serif
'Biryani', sans-serif
'Bubbler One', sans-serif
'Cabin Condensed', sans-serif
'Cabin', sans-serif
'Cagliostro', sans-serif
'Cairo', sans-serif
'Cambay', sans-serif
'Candal', sans-serif
'Cantarell', sans-serif
'Cantora One', sans-serif
'Capriola', sans-serif
'Carme', sans-serif
'Carrois Gothic SC', sans-serif
'Carrois Gothic', sans-serif
'Catamaran', sans-serif
'Changa', sans-serif
'Chathura', sans-serif
'Chau Philomene One', sans-serif
'Chivo', sans-serif
'Coda Caption', sans-serif
'Convergence', sans-serif
'Cuprum', sans-serif
'Days One', sans-serif
'Denk One', sans-serif
'Dhurjati', sans-serif
'Didact Gothic', sans-serif
'Doppio One', sans-serif
'Dorsa', sans-serif
'Dosis', sans-serif
'Droid Sans', sans-serif
'Duru Sans', sans-serif
'Economica', sans-serif
'Ek Mukta', sans-serif
'El Messiri', sans-serif
'Electrolize', sans-serif
'Englebert', sans-serif
'Exo 2', sans-serif
'Exo', sans-serif
'Federo', sans-serif
'Fira Sans Condensed', sans-serif
'Fira Sans Extra Condensed', sans-serif
'Fira Sans', sans-serif
'Fjalla One', sans-serif
'Francois One', sans-serif
'Frank Ruhl Libre', sans-serif
'Fresca', sans-serif
'Gafata', sans-serif
'Galdeano', sans-serif
'Geo', sans-serif
'GFS Neohellenic', sans-serif
'Gidugu', sans-serif
'Gudea', sans-serif
'Hammersmith One', sans-serif
'Harmattan', sans-serif
'Heebo', sans-serif
'Hind Guntur', sans-serif
'Hind Madurai', sans-serif
'Hind Siliguri', sans-serif
'Hind Vadodara', sans-serif
'Hind', sans-serif
'Homenaje', sans-serif
'Imprima', sans-serif
'Inder', sans-serif
'Istok Web', sans-serif
'Jaldi', sans-serif
'Jockey One', sans-serif
'Josefin Sans', sans-serif
'Julius Sans One', sans-serif
'Jura', sans-serif
'Kanit', sans-serif
'Kantumruy', sans-serif
'Karla', sans-serif
'Khand', sans-serif
'Khula', sans-serif
'Kite One', sans-serif
'Krona One', sans-serif
'Lato', sans-serif
'Lekton', sans-serif
'Libre Franklin', sans-serif
'Mada', sans-serif
'Magra', sans-serif
'Mako', sans-serif
'Mallanna', sans-serif
'Mandali', sans-serif
'Marmelad', sans-serif
'Martel Sans', sans-serif
'Marvel', sans-serif
'Maven Pro', sans-serif
'Meera Inimai', sans-serif
'Merriweather Sans', sans-serif
'Metrophobic', sans-serif
'Michroma', sans-serif
'Miriam Libre', sans-serif
'Mitr', sans-serif
'Molengo', sans-serif
'Monda', sans-serif
'Montserrat Alternates', sans-serif
'Montserrat Subrayada', sans-serif
'Montserrat', sans-serif
'Mouse Memoirs', sans-serif
'Mukta Vaani', sans-serif
'Muli', sans-serif
'News Cycle', sans-serif
'Nobile', sans-serif
'Noto Sans', sans-serif
'NTR', sans-serif
'Numans', sans-serif
'Nunito Sans', sans-serif
'Nunito', sans-serif
'Open Sans', sans-serif
'Open Sans Condensed', sans-serif
'Orbitron', sans-serif
'Orienta', sans-serif
'Oswald', sans-serif
'Overpass', sans-serif
'Oxygen', sans-serif
'Padauk', sans-serif
'Palanquin Dark', sans-serif
'Palanquin', sans-serif
'Pathway Gothic One', sans-serif
'Pattaya', sans-serif
